quotes_USD_price,circulating_supply,id,quotes_USD_percent_change_7d,symbol,website_slug,max_supply,quotes_USD_volume_24h,quotes_USD_percent_change_1h,name,last_updated,total_supply,rank,quotes_USD_percent_change_24h,quotes_USD_market_cap
0.00300996,802404382,2617,-23.21,IPSX,ip-exchange,,174515,-1.53,IP Exchange,1531696180,1714102659,702,1.41,2415205
0.00384067,,2618,-19.75,SCC,stockchain,,186693,-0.52,StockChain,1531696181,10000000000,1457,1.58,
0.000835826,3467018936,2619,-14.85,BSTN,bitstation,,63076.4,-0.21,BitStation,1531696179,12000000000,669,6.22,2897825
0.0160981,522694673,2620,-9.37,SWTH,switcheo,,42126.1,3.05,Switcheo,1531696181,1000000000,454,2.64,8414391
0.0166324,,2621,8.71,SEN,consensus,,36829,0.58,Consensus,1531696183,1650000000,1486,1.2,
0.0222934,197269666,2624,-24.94,SENC,sentinel-chain,,331759,-1.14,Sentinel Chain,1531696183,500000000,593,14.51,4397812
0.00968485,230749949,2625,-32.62,VIT,vice-industry-token,,26059.4,-3.54,Vice Industry Token,1531696179,4000000000,714,-7.5,2234779
0.0117981,509400752,2626,-16.5,FDZ,friends,,180251,-0.45,Friendz,1531696179,1142645649,519,2.01,6009961
3.76532,15455925,2627,-18.37,TPAY,tokenpay,25000000,356656,2.94,TokenPay,1531696180,19294727,131,3.59,58196504
0.01873,301464482,2628,-10.66,BERRY,rentberry,,2626.76,3.04,Rentberry,1531696180,301473028,533,4.45,5646430
0.000318993,2982832499,2629,-21.22,XTL,stellite,21000000000,6378.49,-0.19,Stellite,1531696180,3108832499,825,0.56,951503
0.0031091,1506457130,2630,-22.8,NCT,polyswarm,,30635.9,-0.32,PolySwarm,1531696180,1885913076,582,-4.26,4683726
0.361927,177682511,2631,7.13,ODE,odem,,3770330,0.42,ODEM,1531696179,268946131,124,-1.19,64308098
2.97053,,2632,-18.49,XMO,monero-original,,10637.7,1.31,Monero Original,1531696183,16230393,1507,8.79,
0.35931,69910880,2633,-18.85,XSN,stakenet,,62488.9,0.74,Stakenet,1531696181,79831497,243,-0.07,25119678
0.00372056,3780789521,2634,-13.25,XDCE,xinfin-network,,143523,-0.06,XinFin Network,1531696180,15000000000,349,5.51,14066654
0.0484667,10278325,2635,58.01,TDS,tokendesk,,126053,-0.08,TokenDesk,1531696181,14683321,889,-7.19,498156
0.0719741,4948463,2636,-55.6,BBI,belugapay,,,,BelugaPay,1531609239,60793471,1120,-0.21,356161
0.0440848,115038415,2637,20.54,FID,fidelium,,23.7289,-0.19,Fidelium,1531696181,191421673,986,1.67,5071446
0.570845,149792458,2638,-27.26,CTXC,cortex,,12683700,-0.55,Cortex,1531696179,299792458,103,7.96,85508276
0.00606086,,2639,-25.19,ATC,arbitracoin,,716.304,-0.19,Arbitracoin,1531696179,131901470,1539,-2.27,
0.0608096,3630267,2640,24.79,WIN,wawllet,,14913.6,-0.38,WCOIN,1531696239,56642699,934,-19.18,220755
0.0600984,432550199,2641,-11.57,CPX,apex,,628220,-1.56,Apex,1531696242,676989090,232,-5.85,25995575
0.0578372,1051353285,2642,1.03,CVT,cybervein,,375341,-0.17,CyberVein,1531696242,2147483648,127,12.26,60807330
0.00609978,1999999999,2643,-14.37,SENT,sentinel,,140305,0.31,Sentinel,1531696241,2000000000,373,-3.72,12199560
0.057598,660755177,2644,-16.97,EOSDAC,eosdac,,446170,-0.47,eosDAC,1531696241,1200000000,182,14.04,38058177
0.00195405,5892573645,2645,-20.54,UUU,u-network,,1568580,-0.51,U Network,1531696243,10000000000,388,-3.63,11514384
0.051478,111921314,2646,2.2,ADH,adhive,,217724,1.97,AdHive,1531696240,392000000,529,4.77,5761485
0.000401637,,2647,-20.63,SNIP,snipcoin,,3405.54,-0.38,SnipCoin,1531696242,10000000000,1516,-7.3,
0.00044,913811455,2648,22.87,BSM,bitsum,,3278.01,-0.15,Bitsum,1531696242,1844674407,906,1.59,402077
1.03442,6447572,2649,-28.26,DEV,deviantcoin,,49933.3,-5.23,DeviantCoin,1531696242,11160913,502,-16.82,6669498
0.0194089,173256686,2650,-15.16,CBT,commerceblock,,4449.98,-0.81,CommerceBlock,1531696240,743256686,653,12.14,3362722
0.0178741,11467373,2651,-20.86,GRMD,greenmed,,724.239,-8.88,GreenMed,1531696243,14899993,936,-14.23,204969
0.00491848,,2652,-10.73,CVH,curriculum-vitae,,,,Curriculum Vitae,1531586922,1900000000,1640,,
0.13774,16697784,2653,-12.95,AUC,auctus,,1182.24,-0.03,Auctus,1531696242,65829658,710,10.21,2299953
0.0169623,,2654,-11.85,BUBO,budbo,,349.537,-0.32,Budbo,1531696240,200000000,1543,1.06,
2.85294,,2655,-21.72,XMC,monero-classic,18400000,22016.9,0.36,Monero Classic,1531696242,16016864,1493,4.58,
0.0283603,34616857,2656,-30.09,DAN,daneel,,11022.2,-13.08,Daneel,1531696242,69320719,821,-14.29,981744
0.0203526,619267130,2657,-39.27,BRM,brahmaos,,1337.06,-0.38,BrahmaOS,1531696242,3000000000,366,-3.76,12603696
0.00768279,160488754,2658,-13.09,MFG,syncfab,,1189.82,0.53,SyncFab,1531696240,950000000,789,2.94,1233001
0.102289,,2659,-13.54,DIG,dignity,,379794,-3.28,Dignity,1531696243,3000000000,1432,-0.03,
0.00655618,234110888,2660,-41.19,ADI,aditus,,168378,0.84,Aditus,1531696243,750000000,766,-3.26,1534873
0.00925822,,2661,-10.07,TRIO,tripio,,838767,-0.42,Tripio,1531696242,5000000000,1414,4.52,
0.711824,3550221,2662,-14.98,XHV,haven-protocol,,12245.5,2.04,Haven Protocol,1531696243,3550221,691,4.92,2527133
0.00885795,,2663,-63.35,KST,starcointv,,160680,-0.06,StarCoin,1531696242,877631077,1459,-0.26,
0.181456,4562936,2664,-18.6,CRC,crycash,,379.982,0.62,CryCash,1531696242,7057137,1060,27.44,827972
0.664242,3011944,2665,-28.97,DERO,dero,,15283.8,2.11,Dero,1531696240,18400000,737,8.58,2000660
0.0247416,206668526,2666,-6.41,EFX,effect-ai,,185222,0.01,Effect.AI,1531696242,650000000,559,1.22,5113310
0.034617,55428631,2667,-10.76,FTX,fintrux-network,,54226,-0.45,FintruX Network,1531696242,100000000,743,0.45,1918773
0.0035725,205300250,2668,-5.95,EARTH,earth-token,,94475.4,-0.19,Earth Token,1531696243,750000000,851,5.57,733435
0.0356099,449839304,2669,-25.2,MRK,mark-space,,1643030,0.92,MARK.SPACE,1531696242,3000000000,328,-1.73,16018733
0.00155923,,2670,-15.39,PXC,pixie-coin,,38966.3,-0.17,Pixie Coin,1531696782,10000000000,1483,21.57,
0.00282055,,2671,-42.75,CROP,cropcoin,100000000,986.216,-5.88,Cropcoin,1531696782,33953515,1536,-3.78,
0.0011689,5052048084,2672,-27.08,SRCOIN,srcoin,,982205,-6.88,SRCOIN,1531696782,15000000000,524,-8.57,5905339
0.0211083,58569819,2673,-29.85,CHX,chainium,,987.74,-0.17,Chainium,1531696781,168956522,787,,1236309
